TITLE = "Unit spherical octant triangulation"
VARIABLES =
"x"
"y"
"z"
ZONE T = "unit_sphere_octant_10.dat"
Nodes = 55, Elements = 81
F=FEPOINT, ET=TRIANGLE
  0.00000000E+00  0.00000000E+00  1.00000000E+00
  1.88571141E-01  0.00000000E+00  9.82118574E-01
  0.00000000E+00  1.88446221E-01  9.82142136E-01
  3.58941216E-01  0.00000000E+00  9.33652562E-01
  2.02630471E-01  2.03561161E-01  9.58002306E-01
  0.00000000E+00  3.59588908E-01  9.33403654E-01
  5.12052110E-01  0.00000000E+00  8.59015814E-01
  3.86454452E-01  2.12659913E-01  8.98058524E-01
  2.13452509E-01  3.86916483E-01  8.97671412E-01
  0.00000000E+00  5.12352837E-01  8.58837670E-01
  6.46600323E-01  0.00000000E+00  7.62915513E-01
  5.48802582E-01  2.19382396E-01  8.07144020E-01
  4.03040853E-01  4.04099292E-01  8.21595583E-01
  2.17939754E-01  5.50498897E-01  8.06378796E-01
  0.00000000E+00  6.47594252E-01  7.62075678E-01
  7.63282920E-01  0.00000000E+00  6.46214519E-01
  6.90205302E-01  2.19830841E-01  6.89955021E-01
  5.70070145E-01  4.11794998E-01  7.11557576E-01
  4.11046989E-01  5.70731111E-01  7.11460884E-01
  2.20935758E-01  6.91521450E-01  6.88283717E-01
  0.00000000E+00  7.63802452E-01  6.45598687E-01
  8.59765666E-01  0.00000000E+00  5.10886186E-01
  8.08017117E-01  2.18199917E-01  5.48088649E-01
  7.11271496E-01  4.10223649E-01  5.71707157E-01
  5.77429245E-01  5.75866801E-01  5.79650293E-01
  4.13702835E-01  7.10045409E-01  5.70728157E-01
  2.20664386E-01  8.07851544E-01  5.47349943E-01
  0.00000000E+00  8.59291260E-01  5.11683092E-01
  9.32996673E-01  0.00000000E+00  3.60314198E-01
  8.97887662E-01  2.16566110E-01  3.84656787E-01
  8.20479432E-01  4.05749396E-01  4.04151419E-01
  7.08816045E-01  5.71181204E-01  4.15360491E-01
  5.69568770E-01  7.11232002E-01  4.13443941E-01
  4.03633411E-01  8.21799879E-01  4.03573809E-01
  2.12374514E-01  8.98627346E-01  3.85262733E-01
  0.00000000E+00  9.33698163E-01  3.58487362E-01
  9.81995172E-01  0.00000000E+00  1.89309840E-01
  9.58081194E-01  2.02495723E-01  2.03379988E-01
  8.97454035E-01  3.87386823E-01  2.11429953E-01
  8.06168044E-01  5.49202810E-01  2.20605338E-01
  6.89986978E-01  6.88929173E-01  2.22451805E-01
  5.50142430E-01  8.06063399E-01  2.18644651E-01
  3.87323869E-01  8.97048322E-01  2.13279557E-01
  2.04280583E-01  9.58093562E-01  2.01534255E-01
  0.00000000E+00  9.82026544E-01  1.89151431E-01
  1.00000000E+00  0.00000000E+00  0.00000000E+00
  9.82146891E-01  1.88229249E-01  0.00000000E+00
  9.33534782E-01  3.58516040E-01  0.00000000E+00
  8.58682185E-01  5.12531032E-01  0.00000000E+00
  7.63010708E-01  6.46394620E-01  0.00000000E+00
  6.47546006E-01  7.62032623E-01  0.00000000E+00
  5.12618497E-01  8.58625951E-01  0.00000000E+00
  3.60053168E-01  9.32942844E-01  0.00000000E+00
  1.88379059E-01  9.82117197E-01  0.00000000E+00
  0.00000000E+00  1.00000000E+00  0.00000000E+00
  1  2  3
  2  4  5
  5  3  2
  3  5  6
  4  7  8
  8  5  4
  5  8  9
  9  6  5
  6  9 10
  7 11 12
 12  8  7
  8 12 13
 13  9  8
  9 13 14
 14 10  9
 10 14 15
 11 16 17
 17 12 11
 12 17 18
 18 13 12
 13 18 19
 19 14 13
 14 19 20
 20 15 14
 15 20 21
 16 22 23
 23 17 16
 17 23 24
 24 18 17
 18 24 25
 25 19 18
 19 25 26
 26 20 19
 20 26 27
 27 21 20
 21 27 28
 22 29 30
 30 23 22
 23 30 31
 31 24 23
 24 31 32
 32 25 24
 25 32 33
 33 26 25
 26 33 34
 34 27 26
 27 34 35
 35 28 27
 28 35 36
 29 37 38
 38 30 29
 30 38 39
 39 31 30
 31 39 40
 40 32 31
 32 40 41
 41 33 32
 33 41 42
 42 34 33
 34 42 43
 43 35 34
 35 43 44
 44 36 35
 36 44 45
 37 46 47
 47 38 37
 38 47 48
 48 39 38
 39 48 49
 49 40 39
 40 49 50
 50 41 40
 41 50 51
 51 42 41
 42 51 52
 52 43 42
 43 52 53
 53 44 43
 44 53 54
 54 45 44
 45 54 55
