TITLE = "Unit spherical octant triangulation"
VARIABLES =
"x"
"y"
"z"
ZONE T = "unit_sphere_octant_7.dat"
Nodes = 28, Elements = 36
F=FEPOINT, ET=TRIANGLE
  0.00000000E+00  0.00000000E+00  1.00000000E+00
  2.75902685E-01  0.00000000E+00  9.61371387E-01
  0.00000000E+00  2.75902683E-01  9.61371387E-01
  5.07641785E-01  0.00000000E+00  8.61617204E-01
  3.10986667E-01  3.11068298E-01  8.98814123E-01
  0.00000000E+00  5.07350157E-01  8.61788795E-01
  6.99483057E-01  0.00000000E+00  7.14740048E-01
  5.63801680E-01  3.26040765E-01  7.60102156E-01
  3.25560127E-01  5.63968406E-01  7.60184111E-01
  0.00000000E+00  6.99552286E-01  7.14672291E-01
  8.52552352E-01  0.00000000E+00  5.22975727E-01
  7.64504304E-01  3.20720333E-01  5.60878126E-01
  5.82792751E-01  5.82872521E-01  5.68041105E-01
  3.21013790E-01  7.64518249E-01  5.60691576E-01
  0.00000000E+00  8.52552353E-01  5.22975727E-01
  9.58988541E-01  0.00000000E+00  2.83929442E-01
  9.03711177E-01  3.00402587E-01  3.06643401E-01
  7.67377335E-01  5.60683428E-01  3.12732155E-01
  5.60937706E-01  7.67534600E-01  3.11888631E-01
  3.00163406E-01  9.03742906E-01  3.06783562E-01
  0.00000000E+00  9.58988560E-01  2.83929377E-01
  1.00000000E+00  0.00000000E+00  0.00000000E+00
  9.62747339E-01  2.70463888E-01  0.00000000E+00
  8.61938276E-01  5.07021661E-01  0.00000000E+00
  7.07029634E-01  7.07184151E-01  0.00000000E+00
  5.07040001E-01  8.61927488E-01  0.00000000E+00
  2.70529469E-01  9.62728916E-01  0.00000000E+00
  0.00000000E+00  1.00000000E+00  0.00000000E+00
  1  2  3
  2  4  5
  5  3  2
  3  5  6
  4  7  8
  8  5  4
  5  8  9
  9  6  5
  6  9 10
  7 11 12
 12  8  7
  8 12 13
 13  9  8
  9 13 14
 14 10  9
 10 14 15
 11 16 17
 17 12 11
 12 17 18
 18 13 12
 13 18 19
 19 14 13
 14 19 20
 20 15 14
 15 20 21
 16 22 23
 23 17 16
 17 23 24
 24 18 17
 18 24 25
 25 19 18
 19 25 26
 26 20 19
 20 26 27
 27 21 20
 21 27 28
